Player	Pos	Squad	Gls
Ramon-Morales	MF	mx Mexico	0
Gustavo-Morinigo	MF	py Paraguay	0
Ryuzo-Morioka	DF	jp Japan	0
Mbo-Mpenza	FW	be Belgium	0
Maciej-Murawski	DF	pl Poland	0
Tomokazu-Myojin	MF	jp Japan	0
Hong-Myung-bo	DF	kr Korea Republic	0
Moussa-NDiaye	FWMF	sn Senegal	0
Alassane-NDour	DFMF	sn Senegal	0
Daniel-NGom-Kome	MF	cm Cameroon	0
Koji-Nakata	DFMF	jp Japan	0
Masashi-Nakayama	FW	jp Japan	0
Kim-Nam-il	MF	kr Korea Republic	0
Seigo-Narazaki	GK	jp Japan	0
Pius-Ndiefi	FW	cm Cameroon	0
Alessandro-Nesta	DF	it Italy	0
Ruslan-Nigmatullin	GK	ru Russia	0
Yuriy-Nikiforov	DFMF	ru Russia	0
Akinori-Nishizawa	FW	jp Japan	0
Pierre-Njanka	DF	cm Cameroon	0
Mohammed-Noor	FWMF	sa Saudi Arabia	0
Dzoni-Novak	MF	si Slovenia	0
Cyril-Nzama	DF	za South Africa	0
James-Obiorah	FWMF	ng Nigeria	0
Alfonso-Obregon	MF	ec Ecuador	0
Mitsuo-Ogasawara	MF	jp Japan	0
Bartholomew-Ogbeche	FW	ng Nigeria	0
Jay-Jay-Okocha	MF	ng Nigeria	0
Isaac-Okoronkwo	DF	ng Nigeria	0
Salomon-Olembe	MF	cm Cameroon	0
Shinji-Ono	MF	jp Japan	0
Viktor-Onopko	DF	ru Russia	0
Femi-Opabunmi	MF	ng Nigeria	0
Ariel-Ortega	FWMF	ar Argentina	0
Milan-Osterc	FW	si Slovenia	0
Alpay-Ozalan	DF	tr Turkey	0
Umit-Ozat	DFMF	tr Turkey	0
Juan-Pablo-Sorin	DFMF	ar Argentina	0
Francisco-Palencia	FWMF	mx Mexico	0
Christian-Panucci	DF	it Italy	0
Carlos-Paredes	MF	py Paraguay	0
Juninho-Paulista	MF	br Brazil	0
Miran-Pavlin	MF	si Slovenia	0
Javier-de-Pedro	MF	es Spain	0
Jacky-Peeters	DF	be Belgium	0
Ergun-Penbe	DFMF	tr Turkey	0
Oscar-Perez-Rojas	GK	mx Mexico	0
Petit	MF	pt Portugal	0
Emmanuel-Petit	DFMF	fr France	0
Ruslan-Pimenov	DFFW	ru Russia	0
Joao-Pinto	FWMF	pt Portugal	0
Diego-Placente	DF	ar Argentina	0
Stipe-Pletikosa	GK	hr Croatia	0
Mauricio-Pochettino	DF	ar Argentina	0
Anderson-Polga	DF	br Brazil	0
Eddie-Pope	DF	us United States	0
Augusto-Porozo	DF	ec Ecuador	0
Christian-Poulsen	MF	dk Denmark	0
Robert-Prosinecki	MF	hr Croatia	0
Yang-Pu	DFMF	cn China PR	0
Carles-Puyol	DF	es Spain	0
Niall-Quinn	FW	ie Republic of Ireland	0
Carsten-Ramelow	DFMF	de Germany	0
Rustu-Recber	GK	tr Turkey	0
Mario-Regueiro	FWMF	uy Uruguay	0
Marko-Rehmer	DF	de Germany	0
Steven-Reid	DFMF	ie Republic of Ireland	0
Claudio-Reyna	MF	us United States	0
Ricardinho	MF	br Brazil	0
Johan-Rodriguez	MF	mx Mexico	0
Enrique-Romero	DF	es Spain	0
Marcelo-Romero	MF	uy Uruguay	0
Mladen-Rudonja	FWMF	si Slovenia	0
Tomasz-Rzasa	DF	pl Poland	0
Walter-Samuel	DF	ar Argentina	0
Ebbe-Sand	FW	dk Denmark	0
Tony-Sanneh	DFMF	us United States	0
Alessandro-Santos	DFMF	jp Japan	0
Daniel-Saric	DFMF	hr Croatia	0
Pape-Sarr	MF	sn Senegal	0
Paul-Scholes	MF	eng England	0
David-Seaman	GK	eng England	0
Juan-Sebastian-Veron	MF	ar Argentina	0
Adel-Sellimi	FW	tn Tunisia	0
Igor-Semshov	MF	ru Russia	0
Dmitri-Sennikov	DF	ru Russia	0
Sergio	MF	es Spain	0
Ibrahim-Al-Shahrani	MF	sa Saudi Arabia	0
Mohammad-Al-Shalhoub	MF	sa Saudi Arabia	0
Fouzi-Al-Shehri	DFMF	sa Saudi Arabia	0
Teddy-Sheringham	FW	eng England	0
Ike-Shorunmu	GK	ng Nigeria	0
MacBeth-Sibaya	MF	za South Africa	0
Pawel-Sibik	MF	pl Poland	0
Dario-Silva	FW	uy Uruguay	0
Gilberto-Silva	DFMF	br Brazil	0
Diego-Simeone	MF	ar Argentina	0
Marko-Simeunovic	GK	si Slovenia	0
Dario-Simic	DF	hr Croatia	0
Timmy-Simons	DFMF	be Belgium	0
Josip-Simunic	DF	hr Croatia	0
Trevor-Sinclair	MF	eng England	0
Alexey-Smertin	MF	ru Russia	0
Efe-Sodje	DF	ng Nigeria	0
Zvonimir-Soldo	DFMF	hr Croatia	0
Mauricio-Solis	MF	cr Costa Rica	0
Andrei-Solomatin	DFMF	ru Russia	0
Rigobert-Song	DF	cm Cameroon	0
Gonzalo-Sorondo	DFGK	uy Uruguay	0
Mario-Stanic	FWMF	hr Croatia	0
Steve-Staunton	DFMF	ie Republic of Ireland	0
Brian-Steen-Nielsen	DFMF	dk Denmark	0
Earnie-Stewart	FWMF	us United States	0
Branko-Strupar	FW	be Belgium	0
Estanislao-Struway	MF	py Paraguay	0
Patrick-Suffo	FW	cm Cameroon	0
Davor-Suker	FW	hr Croatia	0
Magnus-Svensson	DFMF	se Sweden	0
